p_date,ticker_code,EPS_Q_EST,REV_Q_EST,EPS_A_EST,REV_A_EST,EPS_Q_EST_FP,REV_Q_EST_FP,EPS_A_EST_FP,REV_A_EST_FP,EPS_LT,PRICE_LT,REV_Q_ACT,NI_Q_ACT,REV_A_ACT,NI_A_ACT,ACT_CLOSE_PRICE,ACT_OPEN_PRICE,ACT_HIGH_PRICE,ACT_LOW_PRICE,ACT_VOLUME
4/27/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,721.46,725.32,727.15,709.08,3313.137
4/28/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,705.06,723.29,729.26,703.2,3129.502
4/29/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,707.88,704.12,712.11,703.78,2913.898
5/2/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,714.41,711.92,715.41,706.36,1673.82
5/3/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,708.44,712.5,713.37,707.33,1931.04
5/4/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,711.37,706.77,715.05,704.05,1708.609
5/5/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,714.71,715,717.55,709.4501,1483.357
5/6/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,725.18,712.2,725.99,711.95,1997.628
5/9/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,729.13,726.7,734.29,723.5,1903.689
5/10/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,739.38,734.96,740,731.61,1631.714
5/11/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,730.55,740.52,740.8,727.9025,1491.746
5/12/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,728.07,732,735.37,724.27,1354.717
5/13/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,724.83,726.62,731.29,723.51,1262.161
5/16/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,730.3,724.32,732.68,720,1126.862
5/17/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,720.19,731.06,735.85,718,1670.176
5/18/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,721.78,718.5,725.57,715.02,1626.8
5/19/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,715.31,718.3,720.5,710.305,1529.91
5/20/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,721.71,716.46,727.7,715.01,1739.895
5/23/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,717.25,719.98,723.4999,716.94,1240.826
5/24/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,733.03,719.85,734.2,719.645,1894.161
5/25/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,738.1,735,739.89,732.6,1616.624
5/26/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,736.93,736,741.1,733,1360.119
5/27/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,747.6,737.51,747.91,737.01,1740.13
5/30/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,747.6,737.51,747.91,737.01,0
5/31/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,748.85,748.76,753.48,745.57,2124.248
6/1/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,748.46,748.47,751.37,744.34,1039.847
6/2/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,744.27,746.1,747.3,737,1695.824
6/3/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,735.86,741.49,741.49,733.91,1230.376
